此开卷第一回也．作者自云：因曾历过一番梦幻之后，故将真事隐去，而借"通灵"之说，撰此《石头记》一书也．故曰"甄士隐"云云．但书中所记何事何人？自又云：  |||  作者
因向刘姥姥道：  |||  刘姥姥
刘姥姥听了谢过，遂携了板儿，绕到后门上．只见门前歇着些生意担子，也有卖吃的，也有卖顽耍物件的，闹吵吵三二十个小孩子在那里厮闹．刘姥姥便拉住一个道：  |||  刘姥姥
孩子们道：  |||  孩子们
刘姥姥道：  |||  刘姥姥
孩子道：  |||  孩子
说着，跳蹿蹿的引着刘姥姥进了后门，至一院墙边，指与刘姥姥道：  |||  刘姥姥
又叫道：  |||  又叫道：
周瑞家的在内听说，忙迎了出来，问：  |||  周瑞家的
刘姥姥忙迎上来问道：  |||  刘姥姥
周瑞家的认了半日，方笑道：  |||  周瑞家的
刘姥姥一壁里走着，一壁笑说道：  |||  刘姥姥
说着，来至房中．周瑞家的命雇的小丫头倒上茶来吃着．周瑞家的又问板儿道：  |||  周瑞家的
又问些别后闲话．又问刘姥姥：  |||  刘姥姥
刘姥姥便说：  |||  刘姥姥
周瑞家的听了，便已猜着几分来意．只因昔年他丈夫周瑞争买田地一事，其中多得狗儿之力，今见刘姥姥如此而来，心中难却其意，二则也要显弄自己的体面．听如此说，便笑说道：  |||  周瑞家的
刘姥姥听了，罕问道：  |||  刘姥姥
周瑞家的道：  |||  周瑞家的
刘姥姥道：  |||  刘姥姥
周瑞家的道：  |||  周瑞家的
刘姥姥因说：  |||  刘姥姥
周瑞家的听了道：  |||  周瑞家的
说着，只见小丫头回来说：  |||  小丫头
周瑞家的听了，连忙起身，催着刘姥姥说：  |||  周瑞家的
说着一齐下了炕，打扫打扫衣服，又教了板儿几句话，随着周瑞家的，逶迤往贾琏的住处来．先到了倒厅，周瑞家的将刘姥姥安插在那里略等一等．自己先过了影壁，进了院门，知凤姐未下来，先找着凤姐的一个心腹通房大丫头名唤平儿的．周瑞家的先将刘姥姥起初来历说明，又说：  |||  周瑞家的
平儿听了，便作了主意：  |||  平儿
刘姥姥只听见咯当咯当的响声，大有似乎打箩柜筛面的一般，不免东瞧西望的．忽见堂屋中柱子上挂着一个匣子，底下又坠着一个秤砣般一物，却不住的乱幌．刘姥姥心中想着：  |||  刘姥姥
正呆时，只听得当的一声，又若金钟铜磬一般，不防倒唬的一展眼．接着又是一连八九下．方欲问时，只见小丫头子们齐乱跑，说：  |||  小丫头子们
只见门外錾铜钩上悬着大红撒花软帘，南窗下是炕，炕上大红毡条，靠东边板壁立着一个锁子锦靠背与一个引枕，铺着金心绿闪缎大坐褥，旁边有雕漆痰盒．那凤姐儿家常带着秋板貂鼠昭君套，围着攒珠勒子，穿着桃红撒花袄，石青刻丝灰鼠披风，大红洋绉银鼠皮裙，粉光脂艳，端端正正坐在那里，手内拿着小铜火箸儿拨手炉内的灰．平儿站在炕沿边，捧着小小的一个填漆茶盘，盘内一个小盖钟．凤姐也不接茶，也不抬头，只管拨手炉内的灰，慢慢的问道：  |||  凤姐
一面说，一面抬身要茶时，只见周瑞家的已带了两个人在地下站着呢．这才忙欲起身，犹未起身时，满面春风的问好，又嗔着周瑞家的怎么不早说．刘姥姥在地下已是拜了数拜，问姑奶奶安．凤姐忙说：  |||  凤姐
周瑞家的忙回道：  |||  周瑞家的
凤姐儿笑道：  |||  凤姐儿
刘姥姥忙念佛道：  |||  刘姥姥
凤姐儿笑道：  |||  凤姐儿
说着，又问周瑞家的回了太太了没有．周瑞家的道：  |||  周瑞家的
凤姐道：  |||  凤姐
这里凤姐叫人抓些果子与板儿吃，刚问些闲话时，就有家下许多媳妇管事的来回话．平儿回了，凤姐道：  |||  凤姐
平儿出去了，一会进来说：  |||  平儿
凤姐点头．只见周瑞家的回来，向凤姐道：  |||  凤姐
刘姥姥道：  |||  刘姥姥
周瑞家的道：  |||  周瑞家的
一面说，一面递眼色与刘姥姥．刘姥姥会意，未语先飞红的脸，欲待不说，今日又所为何来？只得忍耻说道：  |||  刘姥姥
刚说到这里，只听二门上小厮们回说：  |||  小厮们
凤姐忙止刘姥姥：  |||  凤姐
一面便问：  |||  一面便问：
只听一路靴子脚响，进来了一个十七八岁的少年，面目清秀，身材俊俏，轻裘宝带，美服华冠．刘姥姥此时坐不是，立不是，藏没处藏．凤姐笑道：  |||  凤姐
贾蓉笑道：  |||  贾蓉
凤姐道：-说迟了一日，昨儿已经给了人了。”贾蓉听着，嘻嘻的笑着，在炕沿上半跪道：-婶子若不借，又说我不会说话了，又挨一顿好打呢．婶子只当可怜侄儿罢。”凤姐笑道：  |||  凤姐
贾蓉笑道：  |||  贾蓉
凤姐道：  |||  凤姐
因命平儿拿了楼房的钥匙，传几个妥当人抬去．贾蓉喜的眉开眼笑，说：  |||  贾蓉
这里凤姐忽又想起一事来，便向窗外叫：  |||  凤姐
外面几个人接声说：  |||  几个人
贾蓉忙复身转来，垂手侍立，听何指示．那凤姐只管慢慢的吃茶，出了半日的神，又笑道：  |||  凤姐
这里刘姥姥心神方定，才又说道：  |||  刘姥姥
说着又推板儿道：  |||  板儿
凤姐早已明白了，听他不会说话，因笑止道：  |||  凤姐
因问周瑞家的：  |||  因问周瑞家的
刘姥姥忙说道：  |||  刘姥姥
凤姐听说，忙命快传饭来．一时周瑞家的传了一桌客饭来，摆在东边屋内，过来带了刘姥姥和板儿过去吃饭．凤姐说道：  |||  凤姐
于是过东边房里来．又叫过周瑞家的去，问他才回了太太，说了些什么？周瑞家的道：  |||  周瑞家的
凤姐听了说道：  |||  凤姐
说话时，刘姥姥已吃毕了饭，拉了板儿过来，м舌咂嘴的道谢．凤姐笑道：  |||  凤姐
那刘姥姥先听见告艰难，只当是没有，心里便突突的，后来听见给他二十两，喜的又浑身发痒起来，说道：  |||  刘姥姥
周瑞家的见他说的粗鄙，只管使眼色止他．凤姐看见，笑而不睬，只命平儿把昨儿那包银子拿来，再拿一吊钱来，都送到刘姥姥的跟前．凤姐乃道：  |||  凤姐
刘姥姥只管千恩万谢的，拿了银子钱，随了周瑞家的来至外面．周瑞家的道：  |||  周瑞家的
刘姥姥笑道：  |||  刘姥姥
周瑞家的轻轻掀帘进去，只见王夫人和薛姨妈长篇大套的说些家务人情等语．周瑞家的不敢惊动，遂进里间来．只见薛宝钗穿着家常衣服，头上只散挽着シ儿，坐在炕里边，伏在小炕桌上同丫鬟莺儿正描花样子呢．见他进来，宝钗才放下笔，转过身来，满面堆笑让：  |||  宝钗
周瑞家的也忙陪笑问：  |||  周瑞家的
一面炕沿上坐了，因说：  |||  一面炕沿
宝钗笑道：  |||  宝钗
周瑞家的道：  |||  周瑞家的
宝钗听了便笑道：  |||  宝钗
周瑞家的因问：  |||  周瑞家的
宝钗见问，乃笑道：  |||  宝钗
周瑞家的忙道：  |||  周瑞家的
宝钗笑道：  |||  宝钗
周瑞家的听了笑道：  |||  周瑞家的
宝钗道：  |||  宝钗
周瑞家的又问道：  |||  周瑞家的
宝钗道：  |||  宝钗
周瑞家的听了点头儿，因又说：  |||  周瑞家的
宝钗道：  |||  宝钗
周瑞家的还欲说话时，忽听王夫人问：  |||  王夫人
周瑞家的忙出去答应了，趁便回了刘姥姥之事．略待半刻，见王夫人无语，方欲退出，薛姨妈忽又笑道：  |||  薛姨妈
说着便叫香菱．只听帘栊响处，方才和金钏顽的那个小丫头进来了，问：  |||  小丫头
薛姨妈道：  |||  薛姨妈
香菱答应了，向那边捧了个小锦匣来．薛姨妈道：  |||  薛姨妈
王夫人道：  |||  王夫人
薛姨妈道：  |||  薛姨妈
说着，周瑞家的拿了匣子，走出房门，见金钏仍在那里晒日阳儿．周瑞家的因问他道：  |||  周瑞家的
金钏道：  |||  金钏
正说着，只见香菱笑嘻嘻的走来．周瑞家的便拉了他的手，细细的看了一会，因向金钏儿笑道：  |||  周瑞家的
金钏儿笑道：  |||  金钏儿
周瑞家的又问香菱：  |||  周瑞家的
又问：  |||  又问：
香菱听问，都摇头说：  |||  香菱
周瑞家的答应了，因说：  |||  周瑞家的
丫鬟们道：  |||  丫鬟们
周瑞家的听了，便往这边屋里来．只见惜春正同水月庵的小姑子智能儿一处顽耍呢，见周瑞家的进来，惜春便问他何事．周瑞家的便将花匣打开，说明原故．惜春笑道：  |||  惜春
周瑞家的因问智能儿：  |||  周瑞家的
智能儿道：  |||  智能儿
周瑞家的又道：  |||  周瑞家的
智能儿摇头儿说：  |||  智能儿
惜春听了，便问周瑞家的：  |||  惜春
周瑞家的道：  |||  周瑞家的
惜春听了笑道：  |||  惜春
那周瑞家的又和智能儿劳叨了一会，便往凤姐儿处来．穿夹道从李纨后窗下过，隔着玻璃窗户，见李纨在炕上歪着睡觉呢，遂越过西花墙，出西角门进入凤姐院中．走至堂屋，只见小丫头丰儿坐在凤姐房中门槛上，见周瑞家的来了，连忙摆手儿叫他往东屋里去．周瑞家的会意，忙蹑手蹑足往东边房里来，只见奶子正拍着大姐儿睡觉呢．周瑞家的悄问奶子道：  |||  周瑞家的
奶子摇头儿．正说着，只听那边一阵笑声，却有贾琏的声音．接着房门响处，平儿拿着大铜盆出来，叫丰儿舀水进去．平儿便到这边来，一见了周瑞家的便问：  |||  平儿
周瑞家的忙起身，拿匣子与他，说送花儿一事．平儿听了，便打开匣子，拿了四枝，转身去了．半刻工夫，手里拿出两枝来，先叫彩明吩咐道：  |||  平儿
周瑞家的这才往贾母这边来．穿过了穿堂，抬头忽见他女儿打扮着才从他婆家来．周瑞家的忙问：  |||  周瑞家的
他女儿笑道：  |||  女儿
周瑞家的笑道：  |||  周瑞家的
他女儿笑道：  |||  女儿
周瑞家的听了道：  |||  周瑞家的
女儿听说，便回去了，又说：  |||  女儿
周瑞家的道：  |||  周瑞家的
谁知此时黛玉不在自己房中，却在宝玉房中大家解九连环顽呢．周瑞家的进来笑道：  |||  周瑞家的
宝玉听说，便先问：  |||  宝玉
一面早伸手接过来了．开匣看时，原来是宫制堆纱新巧的假花儿．黛玉只就宝玉手中看了一看，便问道：  |||  黛玉
周瑞家的道：  |||  周瑞家的
黛玉冷笑道：  |||  黛玉
周瑞家的听了，一声儿不言语．宝玉便问道：  |||  宝玉
周瑞家的因说：  |||  周瑞家的
宝玉道：  |||  宝玉
周瑞家的道：  |||  周瑞家的
宝玉听了，便和丫头说：  |||  宝玉
说着，茜雪便答应去了．周瑞家的自去，无话．原来这周瑞的女婿，便是雨村的好友冷子兴，近因卖古董和人打官司，故教女人来讨情分．周瑞家的仗着主子的势利，把这些事也不放在心上，晚间只求求凤姐儿便完了．至掌灯时分，凤姐已卸了妆，来见王夫人回话：  |||  凤姐
王夫人点头．凤姐又道：  |||  凤姐
王夫人道：  |||  王夫人
凤姐又笑道：  |||  凤姐
王夫人道：  |||  王夫人
次日凤姐梳洗了，先回王夫人毕，方来辞贾母．宝玉听了，也要跟了逛去．凤姐只得答应，立等着换了衣服，姐儿两个坐了车，一时进入宁府．早有贾珍之妻尤氏与贾蓉之妻秦氏婆媳两个，引了多少姬妾丫鬟媳妇等接出仪门．那尤氏一见了凤姐，必先笑嘲一阵，一手携了宝玉同入上房来归坐．秦氏献茶毕，凤姐因说：  |||  凤姐
尤氏秦氏未及答话，地下几个姬妾先就笑说：  |||  几个姬妾
正说着，只见贾蓉进来请安．宝玉因问：  |||  宝玉
尤氏道：  |||  尤氏
秦氏笑道：  |||  秦氏
宝玉听了，即便下炕要走．尤氏凤姐都忙说：  |||  尤氏凤姐
一面便吩咐好生小心跟着，别委曲着他，倒比不得跟了老太太过来就罢了．凤姐说道：  |||  凤姐
尤氏笑道：  |||  尤氏
凤姐笑道：  |||  凤姐
贾蓉笑道：  |||  贾蓉
凤姐道：  |||  凤姐
贾蓉笑嘻嘻的说：  |||  贾蓉
说着，果然出去带进一个小后生来，较宝玉略瘦些，眉清目秀，粉面朱唇，身材俊俏，举止风流，似在宝玉之上，只是怯怯羞羞，有女儿之态，腼腆含糊，慢向凤姐作揖问好．凤姐喜的先推宝玉，笑道：  |||  凤姐
那宝玉自见了秦钟的人品出众，心中似有所失，痴了半日，自己心中又起了呆意，乃自思道：  |||  宝玉
秦钟自见了宝玉形容出众，举止不凡，更兼金冠绣服，骄婢侈童，秦钟心中亦自思道：  |||  秦钟
一时摆上茶果，宝玉便说：  |||  宝玉
于是二人进里间来吃茶．秦氏一面张罗与凤姐摆酒果，一面忙进来嘱宝玉道：  |||  秦氏
宝玉笑道：  |||  宝玉
一时凤姐尤氏又打发人来问宝玉：  |||  凤姐尤氏
宝玉只答应着，也无心在饮食上，只问秦钟近日家务等事．秦钟因说：  |||  秦钟
宝玉不待说完，便答道：  |||  宝玉
秦钟笑道：  |||  秦钟
宝玉道：  |||  宝玉
吃毕晚饭，因天黑了，尤氏说：  |||  尤氏
媳妇们传出去半日，秦钟告辞起身．尤氏问：  |||  尤氏
媳妇们回说：  |||  媳妇们
尤氏秦氏都说道：  |||  尤氏秦氏
凤姐道：  |||  凤姐
尤氏叹道：  |||  尤氏
凤姐道：  |||  凤姐
说着，因问：  |||  说着，因问：
地下众人都应道：  |||  众人
凤姐起身告辞，和宝玉携手同行．尤氏等送至大厅，只见灯烛辉煌，众小厮都在丹墀侍立．那焦大又恃贾珍不在家，即在家亦不好怎样他，更可以任意洒落洒落．因趁着酒兴，先骂大总管赖二，说他不公道，欺软怕硬，"有了好差事就派别人，象这等黑更半夜送人的事，就派我．没良心的王八羔子！瞎充管家！你也不想想，焦大太爷跷跷脚，比你的头还高呢．二十年头里的焦大太爷眼里有谁？别说你们这一起杂种王八羔子们！"正骂的兴头上，贾蓉送凤姐的车出去，众人喝他不听，贾蓉忍不得，便骂了他两句，使人捆起来，"等明日酒醒了，问他还寻死不寻死了！"那焦大那里把贾蓉放在眼里，反大叫起来，赶着贾蓉叫：  |||  焦大
